Sun Jul 26 15:49:36 PDT 2015 --  Congrats @godda01! Ryan gets the start in tonight's Gold Cup Final. http://twitter.com/FOXSoccer/status/625437605375672320 …
Sun Jul 26 15:47:48 PDT 2015 --  With that yellow Arena will miss next weeks game against Wilmington. Not the worst game to miss against the lowly Hammerheads #UNLEASH
Sun Jul 26 15:45:48 PDT 2015 --  GREAT SAVE! Brown needed all of his giant frame to get a hand on that one #UNLEASH
Sun Jul 26 15:44:46 PDT 2015 --  Hounds playing with fire with all the Harrisburg corners already #UNLEASH
Sun Jul 26 15:43:06 PDT 2015 --  Great set up from Vincent and Kerr on that goal. #UNLEASH
Sun Jul 26 15:15:00 PDT 2015 --  . @PghRiverhounds Starting XI: Brown; Arena, Green, Donovan, Hunt; Vincent, Kerr, Earls, Moloto; Soumah, Cabrilo #HARvPGH
Sun Jul 26 14:56:33 PDT 2015 --  Paperwork through in time for @OrlandoCitySC defender Conor Donovan to join us on loan. US U-20 international. #HARvPGH #unleash
Sun Jul 26 05:37:27 PDT 2015 --  So, the plan today is... - Hounds take 3 points and secures the Keystone Cup in Harrisburg - Ryan Thompson lifts the Gold Cup in Philly.
Sun Jul 26 04:44:43 PDT 2015 --  Good Morning! Nice piece on @FIFAcom web site about @godda01 : http://www.fifa.com/world-match-centre/goldcup/news/newsid/266/767/0/index.html?intcmp=fifacom_hp_module_news …
Sun Jul 26 04:50:30 PDT 2015 --  ICYMI Are the @PghRiverhounds running out of steam as #USL playoff race heats up? http://pittsburghsoccerreport.com/2015/07/24/analysis-are-the-riverhounds-running-out-of-steam/ …
Thu Jul 23 06:04:44 PDT 2015 --  Currently packing the kit bag for this weekend, @SteelArmy we will be wearing these Sunday night in Harrisburg! pic.twitter.com/mJxytkJpbT
Wed Jul 22 18:18:59 PDT 2015 --  CONFIRMED: @USL field for 2016 is set. Let the speculation begin! http://wp.me/p3ndPO-7kg  #USL #EXPANSION
Wed Jul 22 17:05:22 PDT 2015 --  http://youtu.be/EYi5aW1GdUU 
Wed Jul 22 16:57:05 PDT 2015 --  The @PghRiverhounds' @godda01 is going to the #GoldCup Final. #USL
Wed Jul 22 16:58:38 PDT 2015 --  And @godda01 does it! The @PghRiverhounds goalie backstops Jamaica to a 2-1 win over the U.S. in the Gold Cup semis.
Wed Jul 22 16:58:39 PDT 2015 --  Absolutely buzzing for @godda01 - did the hounds proud! @HoundsAcademy @PghRiverhounds
Wed Jul 22 16:59:07 PDT 2015 --  #ayyeeeee @godda01 much respect on the win tonight brother! Kick some ass in the #goldcup I'll see you back in the #412 before you know it!
Wed Jul 22 17:00:48 PDT 2015 --  Congrats to @PghRiverhounds @godda01 For a great game
Wed Jul 22 17:00:50 PDT 2015 --  As much as it pains me with the US losing, full props to @godda01
Wed Jul 22 16:56:54 PDT 2015 --  While it sadly comes at the expense of the United States... @godda01 advances to the Gold Cup Final! Congrats, Ryan!
Wed Jul 22 16:25:21 PDT 2015 --  When this goes to spot kicks and Thompson saves two of them, no one around here will be remotely surprised.
Wed Jul 22 15:36:02 PDT 2015 --  Jamaica's starting GK, Ryan Thompson, plays for Pittsburgh in the USL (US 3rd tier). On the bench behind him: Andre Blake of Philly (MLS).
Wed Jul 22 15:28:03 PDT 2015 --  Groupon is filming a Footgolf commercial tomorrow at 2:30!! Come out and see if you have what it takes to make the cut
Wed Jul 22 14:17:16 PDT 2015 --  4 #MLS 'ers and 1 @PghRiverhounds in the #JAM 11
