Sun Jul 05 15:37:28 PDT 2015 --  جس شخص کو الله کے هرکام میں حکمت سمجهہ آجائے وہ زندگی میں کسی بهی واقعے کے رونما هونے پر شکوہ نہیں کرتا صرف تسلیم کرتاهے.
Sun Jul 05 07:20:22 PDT 2015 --  2 people followed me and 2 people unfollowed me // automatically checked by http://fllwrs.com 
Sun Jul 05 02:30:54 PDT 2015 --  Sometimes the bad things that happen in our lives put us directly on the path to the best things that will ever happen to us.
Sat Jul 04 17:13:56 PDT 2015 --  Twitter is my lovely escape from clinical pharmacology prep...... jaanlewa studies Thnx twitter for make me feel social social
Sat Jul 04 16:52:57 PDT 2015 --  Twitter pe is wakt tweets parhnay ka mza ese he hay....jese thandi hawa or cloudy weather main morning walk
Sat Jul 04 16:38:33 PDT 2015 --  موسم بدلا...... تم بھی بدلے... پھر میں کیوں اب تک ویسا ہوں...
Sat Jul 04 16:02:52 PDT 2015 --  Imam Ali (A.S) said: "Silence is the sign of nobility and the fruit of the intellect."
Sat Jul 04 15:15:32 PDT 2015 --  pic.twitter.com/KMQrb3GYgh
Fri Jul 03 17:33:37 PDT 2015 --  ہم زندگی میں ضرور کامیاب ہونگے اگر اُن نصیحتوں پر عمل کریں جو ہم دوسروں کو کرتے ہیں۔
Fri Jul 03 17:15:07 PDT 2015 --  فرمان مولا علی علیه السلام "انجان چیزوں کے دشمن نه بنو، کیونکه اکثر علم أنھیں چیزوں میں ھوتا ھے، جسے تم نھیں جانتے"
Fri Jul 03 16:31:05 PDT 2015 --  People usually forget to thank you when you do good to them, but they never forget to blame you if you did wrong to them.
Fri Jul 03 16:05:19 PDT 2015 --  You can't fix stupid , but u can watch it in action on Twitter everyday (",).
Fri Jul 03 15:50:45 PDT 2015 --  شعور کی تین سطحیں.. . pic.twitter.com/pZ6yH4S6sW
Thu Jul 02 13:17:22 PDT 2015 --  #ToliPeer is a #hilltop area situated in #Rawalakot #Poonch District #AzadKashmir about 30 km frm #Rawalakot #AJK pic.twitter.com/KxB8Bb8MqT
Thu Jul 02 08:47:51 PDT 2015 --  pic.twitter.com/anzJtlS66m
Wed Jul 01 15:52:26 PDT 2015 --  امیر مختار آپکی عظمت کو سلام pic.twitter.com/Lrfyr7G1rY
Wed Jul 01 11:44:44 PDT 2015 --  سیدھا سیدھا فوج کو سیاست دانوں کے قتل عام کا حکم دیا جائے۔یہ اتنی چکر بازی، ڈرامے، دھرنے اتنا صبر کون کرے؟
Wed Jul 01 13:21:44 PDT 2015 --  _ کربلا سے عشق کا معیار پیدا کیجئے. اپنے اندر جرات مختار پیدا کیجئے.. 14 رمضان شہادت امیر مختار pic.twitter.com/qz0pQEy6KJ
Wed Jul 01 08:27:44 PDT 2015 --  one person followed me and 2 people unfollowed me // automatically checked by http://fllwrs.com 
Sat Feb 28 02:25:06 PST 2015 --  . #Hazrat_Ali_AS Rizq 2 Tarah Ka Hae. Aik Ki Tum Justuju Karte Ho Aur Aik Tumhari Justuju Mein Laga Huwa Hae. Wassiyat 31 #NehjulBalagha
Sun Jun 28 13:39:22 PDT 2015 --  Aankhon mein Aansoo Aagaye Yar Kiya Shan Masaala walon ne ad banaye he . Eid to Apno Ke Sath . #expatlife
Sat Jun 27 16:18:11 PDT 2015 --  #Ghizer #GilgitBaltistan #Pakistan. Ghizer is crossroads between #Gilgit #Chitral and also to #China #Tajikistan pic.twitter.com/iEPCIcMjY8
Sun Jun 28 10:47:57 PDT 2015 --  Breathtaking Photo: Quiet flows the water at the Mughal garden of Verinag-Srinagar #kashmir @aashiakhanam1 @vandyy_1 pic.twitter.com/xamUaOMCkB
Sat Dec 27 19:58:49 PST 2014 --  . #Hazrat_Ali_AS Sirf Apne Parwardigar Se Sawal Karo Kiyun Ke Dena Aur Na Dena Bus Usi Ke Ikhtiyar Me Hae Wassiyat 31 #NehjulBalagha
Sat Jun 27 07:42:49 PDT 2015 --  7 people followed me and one person unfollowed me // automatically checked by http://fllwrs.com 
Wed Jun 17 04:28:02 PDT 2015 --  Every comer has to return and after returning it is as though he never existed. #Hazrat_Ali(A.S)
Fri Jun 26 14:37:03 PDT 2015 --  #Aries often are unwilling to obey or submit to directions unless there is a very good reason to. They lead, not follow.
Mon Jun 22 05:18:58 PDT 2015 --  pic.twitter.com/ks64SuDzrY
Sat Mar 14 15:52:49 PDT 2015 --  @NehjulBalagha @PayamTv1 @Q_70q @RifStar101 @ZehraShabab @SmellTheWilayah @yasirmirza2002 @YASARATULHUSSAI pic.twitter.com/wxKJeZzWav
Wed Jun 24 15:59:04 PDT 2015 --  حکمرانوں کو فرعون اور نمرود کا انجام نہیں بھولنا چاہئیے - ایڈمن http://fb.me/7mO9FRIMl 
Wed Jun 24 15:27:14 PDT 2015 --  Dua pic.twitter.com/UWvyYLNtV8
Wed Jun 24 15:31:21 PDT 2015 --  The worst person to be around is someone who complains about everything and appreciates nothing.
Wed Jun 24 14:13:04 PDT 2015 --  A perfectly calm mountain lake. pic.twitter.com/IZMLcIkYNp
Mon Jun 22 13:32:03 PDT 2015 --  #Sagittarius is a perfect match for #Aries.
Wed Jun 24 11:32:03 PDT 2015 --  #Aries doesn't need anyone to agree with them. They are usually comfortable enough with themselves to stand alone if they have to.
Mon Jun 22 19:31:18 PDT 2015 --  Glacier Bay, Alaska pic.twitter.com/rmZPsKWg6P
Wed Jun 24 03:51:28 PDT 2015 --  Can the authorities perform an autopsy of the heatwave victims in Karachi, because the symptoms of heat stroke are similar to Naegleria.
Tue Jun 23 16:04:38 PDT 2015 --  کراچی میں رہنے والے تمام بھائیوں سے دربستہ گزارش ہے کہ (کے-الیکٹرک) کو آئندہ سے کے-الیکٹرک کی جگہ کافر-الیکٹرک کے نام سے پکارا جاے #ٹوٹ_بٹوٹ
